0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Year
1,Tyrese Maxey,25,PHI,PG,40,40,1578,23.0,.597,.400,.276,0.7,11.6,6.0,29.4,2.5,2.2,9.0,29.3,4.1,2.0,6.1,.185,5.7,1.1,6.8,3.5,,2026
2,Scottie Barnes,24,TOR,PF,45,45,1556,19.6,.578,.208,.260,6.9,19.9,13.3,24.5,1.9,3.8,13.3,24.3,2.1,2.5,4.6,.141,1.9,2.0,3.9,2.3,,2026
3,Mikal Bridges,29,NYK,SF,44,44,1526,16.9,.604,.448,.085,3.5,10.8,7.1,17.0,2.2,2.6,7.3,17.1,3.3,1.6,4.9,.153,2.4,1.3,3.7,2.2,,2026
4,Amen Thompson,23,HOU,PG,41,41,1524,18.1,.576,.143,.344,8.4,14.7,11.6,19.6,1.8,1.4,13.7,20.9,3.0,1.8,4.8,.151,1.2,0.6,1.9,1.5,,2026
5,DeMar DeRozan,36,SAC,PF,45,45,1510,17.8,.603,.159,.397,1.7,9.3,5.4,18.1,2.0,0.7,6.6,21.4,3.3,0.6,3.8,.122,0.6,-0.2,0.4,0.9,,2026
6,Dyson Daniels,22,ATL,SG,44,44,1499,13.9,.518,.140,.179,6.9,14.5,10.7,24.5,2.6,1.2,15.8,16.4,0.9,1.7,2.6,.082,-1.7,1.1,-0.6,0.5,,2026
7,Trey Murphy III,25,NOP,SF,42,42,1498,19.1,.632,.516,.240,3.4,15.5,9.3,15.4,2.1,0.8,10.1,22.6,3.2,0.8,4.0,.128,3.3,-0.9,2.4,1.6,,2026
8,Brandon Ingram,28,TOR,SF,44,44,1496,16.1,.568,.290,.262,2.7,17.1,9.8,17.4,1.1,2.2,12.4,27.4,0.5,1.8,2.3,.073,0.7,-0.5,0.3,0.9,,2026
9,Jalen Johnson,24,ATL,SF,42,42,1493,21.2,.602,.273,.327,4.5,27.5,15.8,34.2,1.6,1.3,15.2,26.7,2.5,1.9,4.4,.141,3.2,1.1,4.3,2.4,,2026
10,Toumani Camara,25,POR,PF,44,44,1486,10.1,.561,.667,.168,5.5,10.7,8.0,11.0,1.4,1.3,15.0,16.2,0.6,1.0,1.6,.053,-1.5,-0.6,-2.1,0.0,,2026
11,Julius Randle,31,MIN,PF,44,44,1483,20.2,.599,.298,.418,5.5,17.1,11.4,24.3,1.6,0.5,11.9,26.5,3.5,1.8,5.2,.170,2.6,0.1,2.8,1.8,,2026
12,Keyonte George,22,UTA,PG,43,43,1479,18.6,.615,.416,.431,1.4,11.3,6.3,30.1,1.4,0.8,14.9,27.9,2.7,0.0,2.7,.087,3.0,-2.2,0.7,1.0,,2026
13,Pascal Siakam,31,IND,PF,43,43,1455,19.0,.564,.261,.327,5.0,17.5,11.0,21.1,1.6,1.1,9.6,29.1,1.2,1.4,2.6,.086,2.4,-0.6,1.8,1.4,,2026
14,Nickeil Alexander-Walker,27,ATL,SG,44,37,1449,15.4,.585,.517,.245,2.0,10.1,6.0,15.5,1.5,1.7,10.1,24.6,1.1,1.1,2.2,.074,0.8,-1.3,-0.5,0.5,,2026
15,Deni Avdija,25,POR,SF,41,41,1446,21.1,.614,.381,.580,3.0,19.1,10.9,32.0,1.2,1.5,15.4,29.0,3.5,1.4,4.8,.160,4.5,0.4,4.9,2.5,,2026
16,Shai Gilgeous-Alexander,27,OKC,PG,43,43,1434,31.7,.673,.246,.465,1.7,12.2,7.2,32.4,1.9,2.4,7.7,33.3,7.6,2.7,10.3,.344,9.3,2.8,12.1,5.1,,2026
17,Derrick White,31,BOS,SG,42,42,1432,16.9,.526,.587,.190,3.2,11.6,7.4,22.0,1.9,4.4,9.8,23.4,2.0,1.7,3.7,.122,2.5,0.5,3.0,1.8,,2026
18,James Harden,36,LAC,PG,40,40,1426,22.2,.601,.506,.494,2.0,13.3,7.8,37.4,1.8,0.9,14.3,31.5,3.5,0.9,4.5,.150,4.9,-1.2,3.7,2.0,,2026
19,Kevin Durant,37,HOU,SF,39,39,1426,20.8,.630,.309,.347,1.4,14.9,8.2,19.8,1.0,2.4,12.9,26.9,3.9,1.6,5.4,.183,4.1,0.1,4.2,2.2,,2026
20,Desmond Bane,27,ORL,SG,42,42,1423,14.8,.557,.322,.246,4.3,10.4,7.3,20.2,1.1,1.4,11.7,23.7,1.3,1.2,2.6,.086,0.0,-0.7,-0.7,0.5,,2026
21,Jamal Murray,28,DEN,PG,40,40,1417,22.7,.621,.400,.239,1.5,12.0,7.0,32.7,1.4,0.8,10.0,28.7,4.3,0.8,5.1,.172,5.8,-1.7,4.1,2.2,,2026
22,Miles Bridges,27,CHO,PF,43,43,1414,16.2,.565,.448,.257,3.5,17.6,10.7,16.5,0.7,1.3,7.8,23.2,2.3,1.0,3.3,.113,1.5,-0.9,0.6,0.9,,2026
23,Onyeka Okongwu,25,ATL,C,44,33,1407,15.7,.588,.434,.218,6.6,20.7,13.6,14.8,1.7,2.8,12.6,20.5,1.2,1.7,2.9,.100,-0.6,0.2,-0.4,0.6,,2026
24,Donte DiVincenzo,29,MIN,SG,44,44,1400,13.7,.576,.755,.154,3.6,12.1,7.9,17.7,2.0,1.3,10.8,17.0,1.9,1.7,3.6,.123,0.6,0.8,1.4,1.2,,2026
25,Immanuel Quickley,26,TOR,PG,43,43,1398,16.3,.569,.529,.252,1.9,12.6,7.2,27.5,1.8,0.4,10.3,21.7,2.2,1.6,3.7,.128,1.6,0.2,1.8,1.3,,2026
26,Donovan Mitchell,29,CLE,SG,41,41,1397,22.7,.618,.479,.295,2.7,12.6,7.6,27.7,2.1,0.7,11.8,32.1,3.2,1.4,4.6,.159,5.5,-0.2,5.3,2.6,,2026
27,Jabari Smith Jr.,22,HOU,PF,40,40,1394,12.9,.547,.490,.215,5.1,16.8,11.0,6.9,1.0,2.3,8.6,18.5,1.6,1.6,3.2,.111,-0.8,-0.3,-1.1,0.3,,2026
28,Cooper Flagg,19,DAL,SF,41,41,1391,16.2,.556,.228,.286,3.6,15.6,9.8,18.6,1.8,1.9,11.6,23.7,0.7,1.9,2.6,.089,-0.3,0.9,0.7,0.9,,2026
