0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Year
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,2026
1,Oklahoma City Thunder*,25.2,64,18,65,17,11.15,-0.11,11.04,118.9,107.7,+11.2,99.3,.261,.426,.599,,.561,11.2,22.3,.213,,.519,14.6,74.4,.184,,Paycom Center,"764,842","18,203",2026
2,San Antonio Spurs*,25.4,62,20,60,22,8.30,-0.03,8.28,119.6,111.3,+8.3,99.9,.274,.422,.595,,.559,11.8,26.2,.215,,.522,11.5,77.3,.180,,Frost Bank Center,"743,129","18,703",2026
3,Detroit Pistons*,26.1,60,22,60,22,8.16,-0.63,7.53,117.9,109.7,+8.2,99.3,.292,.345,.583,,.546,13.0,30.9,.223,,.517,14.8,74.2,.251,,Little Caesars Arena,"806,422","19,651",2026
4,Boston Celtics*,26.9,56,26,59,23,7.70,-0.33,7.37,120.8,112.7,+8.1,94.8,.207,.467,.583,,.553,11.2,29.2,.167,,.523,11.4,75.7,.189,,TD Garden,"785,396","19,156",2026
5,New York Knicks*,28.1,53,29,56,26,6.33,-0.28,6.05,119.8,113.3,+6.5,96.8,.238,.428,.590,,.557,12.1,29.3,.188,,.541,13.1,76.7,.206,,Madison Square Garden (IV),"792,480","19,812",2026
6,Houston Rockets*,26.5,52,30,54,28,5.22,-0.35,4.87,118.6,113.2,+5.4,96.1,.260,.350,.576,,.542,13.3,34.8,.199,,.530,12.1,74.5,.189,,Toyota Center,"740,378","18,058",2026
7,Denver Nuggets*,27.8,54,28,53,29,5.15,-0.17,4.97,122.6,117.4,+5.2,98.4,.294,.408,.616,,.577,11.5,23.6,.237,,.543,10.4,75.3,.196,,Ball Arena,"812,868","19,826",2026
8,Charlotte Hornets*,24.0,44,38,53,29,4.83,-0.35,4.48,119.4,114.4,+5.0,96.8,.244,.487,.589,,.552,13.5,30.5,.200,,.540,11.6,76.6,.186,,Spectrum Center,"767,319","18,715",2026
9,Cleveland Cavaliers*,27.2,52,30,51,31,4.11,-0.34,3.78,119.2,115.1,+4.1,99.9,.265,.442,.595,,.561,12.2,26.9,.206,,.543,13.1,74.4,.209,,Rocket Arena,"796,712","19,432",2026
10,Minnesota Timberwolves*,27.9,49,33,49,33,3.35,-0.28,3.07,116.8,113.5,+3.3,100.5,.285,.420,.592,,.559,12.9,25.7,.215,,.529,13.0,73.7,.220,,Target Center,"713,487","17,865",2026
11,Toronto Raptors*,24.8,46,36,48,34,2.83,-0.08,2.75,115.9,113.0,+2.9,98.4,.265,.363,.581,,.546,12.2,25.5,.204,,.540,14.3,74.0,.222,,Scotiabank Arena,"772,141","18,833",2026
12,Atlanta Hawks*,25.2,46,36,47,35,2.41,-0.03,2.38,116.1,113.7,+2.4,101.7,.234,.429,.584,,.554,12.3,24.4,.181,,.546,13.9,74.5,.206,,State Farm Arena,"670,581","16,356",2026
13,Miami Heat*,26.2,43,39,47,35,2.33,0.02,2.35,116.7,114.5,+2.2,103.4,.268,.406,.580,,.542,11.6,25.4,.212,,.540,12.8,74.9,.193,,Kaseya Center,"808,063","19,709",2026
14,Los Angeles Lakers*,28.0,53,29,45,37,1.76,-0.07,1.68,118.2,116.4,+1.8,98.3,.320,.394,.609,,.573,13.2,23.9,.244,,.555,13.0,74.3,.191,,Crypto.com Arena,"773,047","18,855",2026
15,Phoenix Suns*,26.8,45,37,45,37,1.46,0.28,1.75,115.4,113.9,+1.5,97.2,.225,.453,.568,,.537,12.8,28.9,.176,,.541,14.5,71.9,.217,,Mortgage Matchup Center,"682,840","17,071",2026
16,Los Angeles Clippers*,30.0,42,40,44,38,1.13,-0.17,0.96,117.3,116.1,+1.2,96.5,.295,.404,.602,,.559,13.2,23.7,.243,,.545,12.9,72.9,.197,,Intuit Dome,"722,504","17,622",2026
17,Orlando Magic*,24.7,45,37,43,39,0.63,0.17,0.81,114.9,114.3,+0.6,100.0,.311,.386,.576,,.531,12.4,25.0,.249,,.545,13.1,75.6,.223,,Kia Center,"768,906","18,462",2026
18,Philadelphia 76ers*,25.5,45,37,41,41,-0.18,-0.09,-0.27,115.4,115.5,-0.1,99.4,.275,.391,.572,,.530,11.9,26.2,.222,,.541,13.3,72.5,.212,,Xfinity Mobile Arena,"778,871","18,997",2026
19,Portland Trail Blazers*,25.2,42,40,40,42,-0.29,0.01,-0.29,114.4,114.7,-0.3,100.5,.280,.469,.570,,.534,14.6,31.3,.214,,.541,13.5,72.7,.215,,Moda Center,"682,863","17,533",2026
20,Golden State Warriors*,28.6,37,45,40,42,-0.56,0.22,-0.34,115.0,115.6,-0.6,99.0,.238,.497,.584,,.549,13.8,25.8,.192,,.553,14.0,72.9,.198,,Chase Center,"740,624","18,064",2026
21,New Orleans Pelicans,24.1,26,56,30,52,-4.50,0.24,-4.26,114.4,118.9,-4.5,100.3,.284,.355,.568,,.527,12.2,27.0,.222,,.555,12.4,71.4,.199,,Smoothie King Center,"675,507","16,476",2026
